Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2014-01-29,192975.0,177.35,-1.4,17.35,16.4,16.45,16.8,17.15,3,15,0.1278492109877265,-0.009605182330931994,0.9310344827586206,0.09810126582278489,0.07894736842105265,0.05787781350482302,0.04347826086956519,0.033132530120481674
2014-01-30,187500.0,179.23,-0.985,17.29,16.65,16.6,16.9,17.35,4,14,-0.0283715507190051,0.010600507471102416,-0.2964285714285714,-0.0034582132564843215,0.015243902439024293,0.00911854103343468,0.005952380952380931,0.011661807580175099
2014-01-31,218825.0,178.18,-1.34,18.41,17.6,17.35,17.4,17.65,5,13,0.1670666666666667,-0.00585839424203527,0.36040609137055846,0.06477732793522284,0.057057057057057214,0.04518072289156616,0.029585798816567976,0.01729106628242061
2014-02-03,249850.0,174.17,-3.66,21.44,19.2,18.6,18.45,18.55,1,12,0.14177996115617497,-0.02250533168705815,1.7313432835820897,0.16458446496469326,0.09090909090909083,0.07204610951008639,0.06034482758620685,0.05099150141643083
2014-02-04,238925.0,175.385,-0.84,19.11,18.65,18.35,18.45,18.6,2,11,-0.04372623574144485,0.006975943044152277,-0.7704918032786885,-0.1086753731343284,-0.02864583333333337,-0.013440860215053752,0.0,0.0026954177897573484
2014-02-05,257075.0,175.17,-1.4,19.95,19.15,18.75,18.85,19.0,3,10,0.07596526106518775,-0.0012258745046611619,0.6666666666666665,0.04395604395604402,0.02680965147453085,0.02179836512261568,0.02168021680216814,0.021505376344086002
2014-02-06,205825.0,177.48,-0.345,17.23,17.0,17.0,17.35,17.8,4,9,-0.1993581639599339,0.013187189587258175,-0.7535714285714286,-0.13634085213032576,-0.11227154046997379,-0.09333333333333338,-0.07957559681697612,-0.06315789473684208
2014-02-07,180500.0,179.68,0.515,15.29,15.5,15.9,16.5,16.95,5,8,-0.12304141868091822,0.012395762902862373,-2.492753623188406,-0.11259431224608252,-0.08823529411764708,-0.06470588235294117,-0.04899135446685887,-0.047752808988764106
2014-02-10,180300.0,180.01,0.685,15.26,15.65,15.85,16.45,16.95,1,7,-0.001108033240997175,0.0018365983971504463,0.33009708737864085,-0.0019620667102681066,0.00967741935483879,-0.0031446540880503138,-0.00303030303030305,0.0
2014-02-11,166750.0,181.98,0.935,14.51,15.05,15.3,15.95,16.5,2,6,-0.07515252357182478,0.010943836453530364,0.36496350364963503,-0.04914809960681521,-0.0383386581469648,-0.034700315457413144,-0.03039513677811545,-0.02654867256637161
2014-02-12,159875.0,182.07,0.6,14.3,14.55,15.0,15.75,16.4,3,5,-0.04122938530734632,0.0004945598417409602,-0.35828877005347604,-0.01447277739490005,-0.03322259136212624,-0.019607843137254943,-0.01253918495297801,-0.0060606060606061
2014-02-13,157500.0,183.01,0.865,14.14,14.6,14.95,15.65,16.35,4,4,-0.014855355746677068,0.005162849453506979,0.44166666666666665,-0.01118881118881121,0.0034364261168384758,-0.0033333333333334103,-0.006349206349206327,-0.0030487804878046587
2014-02-14,152525.0,184.02,1.195,13.57,14.2,14.7,15.45,16.2,5,3,-0.03158730158730161,0.005518824107972442,0.38150289017341055,-0.040311173974540315,-0.0273972602739726,-0.01672240802675584,-0.012779552715655007,-0.009174311926605672
2014-02-18,148700.0,184.24,0.67,13.87,14.25,14.45,15.1,15.9,2,2,-0.025077856089165684,0.0011955222258450693,-0.4393305439330544,0.022107590272660183,0.0035211267605634866,-0.017006802721088454,-0.02265372168284785,-0.01851851851851849
2014-02-19,168100.0,183.02,0.05,15.5,15.4,15.8,16.45,16.9,3,1,0.1304640215198385,-0.006621797655232298,-0.9253731343283582,0.117519826964672,0.08070175438596494,0.09342560553633228,0.08940397350993368,0.06289308176100628
2014-02-20,156825.0,184.1,0.465,14.79,14.95,15.4,16.05,16.65,4,19,-0.06707317073170727,0.005900994426838446,8.3,-0.04580645161290331,-0.02922077922077926,-0.025316455696202556,-0.024316109422492294,-0.014792899408283988
2014-02-21,160200.0,183.89,0.855,14.68,15.15,15.45,16.1,16.6,5,18,0.021520803443328518,-0.0011406844106464087,0.8387096774193548,-0.007437457741717335,0.013377926421404673,0.0032467532467532756,0.0031152647975078995,-0.0030030030030028243
2014-02-24,157550.0,184.91,1.355,14.23,15.0,15.4,16.05,16.6,1,17,-0.016541822721597987,0.005546794279188694,0.5847953216374269,-0.0306539509536784,-0.00990099009900991,-0.003236245954692518,-0.0031055900621118626,0.0
2014-02-25,157250.0,184.84,2.045,13.67,14.9,15.3,15.95,16.5,2,16,-0.0019041574103458858,-0.0003785625439403084,0.5092250922509225,-0.03935347856640903,-0.006666666666666599,-0.00649350649350644,-0.006230529595015688,-0.006024096385542244
2014-02-26,161335.0,184.85,1.6,14.35,15.3,15.65,16.3,16.85,3,15,0.025977742448330732,5.41008439731705e-05,-0.21760391198044005,0.049743964886612924,0.02684563758389258,0.02287581699346397,0.021943573667711602,0.021212121212121238
2014-02-27,160675.0,185.82,1.815,14.04,15.1,15.55,16.25,16.85,4,14,-0.004090866829888129,0.005247497971328174,0.1343749999999999,-0.02160278745644606,-0.013071895424836666,-0.006389776357827448,-0.0030674846625767804,0.0
2014-02-28,165250.0,186.29,2.1,14.0,15.25,15.7,16.4,17.0,5,13,0.02847362688657218,0.0025293294586159476,0.1570247933884299,-0.002849002849002802,0.009933774834437026,0.009646302250803762,0.009230769230769154,0.008902077151335286
2014-03-03,183800.0,184.98,0.925,16.0,16.6,16.65,17.0,17.5,1,12,0.11225416036308622,-0.007032046808739034,-0.5595238095238095,0.1428571428571428,0.08852459016393444,0.060509554140127264,0.03658536585365857,0.02941176470588225
2014-03-04,159800.0,187.58,1.75,14.1,15.1,15.6,16.35,16.95,2,11,-0.13057671381936886,0.014055573575521896,0.8918918918918919,-0.11875000000000002,-0.09036144578313265,-0.06306306306306297,-0.03823529411764692,-0.03142857142857147
2014-03-05,159375.0,187.75,2.115,13.89,15.15,15.6,16.35,16.9,3,10,-0.0026595744680850686,0.0009062799872054939,0.20857142857142863,-0.014893617021276562,0.0033112582781458233,0.0,0.0,-0.002949852507374673
2014-03-06,157425.0,188.18,1.51,14.21,15.05,15.55,16.25,16.85,4,9,-0.012235294117647011,0.0022902796271637715,-0.28605200945626486,0.023038156947444266,-0.0066006600660065695,-0.0032051282051280827,-0.006116207951070374,-0.002958579881656598
2014-03-07,164025.0,188.26,2.26,14.11,15.5,15.85,16.45,17.0,5,8,0.041924726060028616,0.0004251248804334473,0.4966887417218542,-0.0070372976776919005,0.029900332225913484,0.019292604501607746,0.012307692307692353,0.008902077151335286
2014-03-10,162600.0,188.16,1.95,14.2,15.3,15.9,16.45,17.05,1,7,-0.008687700045724722,-0.0005311802825879175,-0.13716814159292035,0.006378454996456506,-0.012903225806451535,0.003154574132492094,0.0,0.002941176470588225
