Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Rashard Lawrence II,DL,LSU,College Stats,2-Jun,308,5.07,,22,,8.03,,
Reggie Robinson III,CB,Tulsa,College Stats,1-Jun,205,4.44,36,22,132,7.09,4.18,
Henry Ruggs III,WR,Alabama,College Stats,11-May,188,4.27,42,,131,,,
Keith Ismael,OL,San Diego St.,College Stats,3-Jun,309,5.34,32,,108,8.14,4.65,
Cordel Iwuagwu,OL,TCU,College Stats,3-Jun,309,5.22,27,25,94,8.03,4.87,
Austin Jackson,OL,USC,College Stats,5-Jun,322,5.07,31,27,115,7.95,,
Dane Jackson,CB,Pittsburgh,College Stats,Jun-00,187,4.57,35,,122,7.07,4.27,
Jonah Jackson,OL,Ohio St.,College Stats,3-Jun,306,5.23,26,28,98,7.83,5.02,
Lamar Jackson,CB,Nebraska,College Stats,2-Jun,208,4.58,36.5,10,122,,,
Trishton Jackson,WR,Syracuse,College Stats,1-Jun,197,4.5,36,,117,,,
Justin Jefferson,WR,LSU,College Stats,1-Jun,202,4.43,37.5,,126,,,
Van Jefferson,WR,Florida,College Stats,1-Jun,200,,,,,,,
Anfernee Jennings,LB,Alabama,College Stats,2-Jun,256,,,,,,,
Jauan Jennings,WR,Tennessee,College Stats,3-Jun,215,4.72,29,,119,,,
Jerry Jeudy,WR,Alabama,College Stats,1-Jun,193,4.45,35,,120,,4.53,
Collin Johnson,WR,Texas,College Stats,6-Jun,222,,,17,,,,
Jaylon Johnson,CB,Utah,College Stats,Jun-00,193,4.5,36.5,15,124,7.01,4.13,
Juwan Johnson,WR,Oregon,College Stats,4-Jun,230,4.58,33,14,124,6.94,4.37,
Tyler Johnson,WR,Minnesota,College Stats,1-Jun,206,,,,,,,
Clay Johnston,LB,Baylor,College Stats,1-Jun,227,,,18,,,,
Benito Jones,DL,Mississippi,College Stats,1-Jun,316,5.26,26.5,,,8.21,5.27,
Brandon Jones,S,Texas,College Stats,11-May,198,,,,,,,
Joshua Jones,OL,Houston,College Stats,5-Jun,319,5.27,28.5,24,109,,,
Tony Jones,RB,Notre Dame,College Stats,10-May,220,4.68,32.5,13,119,7.18,4.21,
Antoine Brooks Jr.,S,Maryland,College Stats,11-May,220,4.64,34.5,18,,,,
Willie Gay Jr.,LB,Mississippi St.,College Stats,1-Jun,243,4.46,39.5,21,136,7.08,4.3,
Laviska Shenault Jr.,WR,Colorado,College Stats,1-Jun,227,4.58,,17,,,,
Antoine Winfield Jr.,S,Minnesota,College Stats,9-May,203,4.45,36,,124,,,
Azur Kamara,LB,Kansas,College Stats,3-Jun,245,4.59,28,13,121,7.2,4.46,
Khalid Kareem,DL,Notre Dame,College Stats,4-Jun,268,,,,,,,
Dalton Keene,TE,Virginia Tech,College Stats,4-Jun,253,4.71,34,21,125,7.07,4.19,
Joshua Kelley,RB,UCLA,College Stats,11-May,212,4.49,31,23,121,6.95,4.28,
BoPete Keyes,CB,Tulane,College Stats,1-Jun,202,,36,,126,,,
Solomon Kindley,OL,Georgia,College Stats,3-Jun,337,,,,,,,
Javon Kinlaw,DL,South Carolina,College Stats,5-Jun,324,,,,,,,
Cole Kmet,TE,Notre Dame,College Stats,6-Jun,262,4.7,37,,123,7.44,4.41,
CeeDee Lamb,WR,Oklahoma,College Stats,2-Jun,198,4.5,34.5,11,124,,,
Javon Leake,RB,Maryland,College Stats,Jun-00,215,4.65,34,,125,,,
Benny LeMay,RB,Charlotte,College Stats,8-May,221,4.75,28.5,24,112,,,
Shane Lemieux,OL,Oregon,College Stats,4-Jun,310,5.11,25.5,,107,8.13,4.9,
Brian Lewerke,QB,Michigan St.,College Stats,2-Jun,213,4.95,31,,113,7.14,4.4,
Damien Lewis,OL,LSU,College Stats,2-Jun,327,5.24,30,27,108,,,
Terrell Lewis,LB,Alabama,College Stats,5-Jun,262,,37,,124,,,
Kalija Lipscomb,WR,Vanderbilt,College Stats,Jun-00,207,4.57,32,16,127,,,
Jordan Love,QB,Utah St.,College Stats,4-Jun,224,4.74,35.5,,118,7.21,4.52,
Jake Luton,QB,Oregon St.,College Stats,6-Jun,224,,,,,,,
James Lynch,DL,Baylor,College Stats,4-Jun,289,5.01,29,23,111,7.39,4.39,
Austin Mack,WR,Ohio St.,College Stats,1-Jun,208,4.59,31.5,,117,,4.42,
Jordan Mack,LB,Virginia,College Stats,3-Jun,241,,,,,,,
Justin Madubuike,DL,Texas A&M,College Stats,3-Jun,293,4.83,,31,,7.37,,
Braden Mann,P,Texas A&M,College Stats,11-May,198,4.83,31,,111,7.03,4.13,
Kamal Martin,LB,Minnesota,College Stats,3-Jun,240,,,,,,,
Cole McDonald,QB,Hawaii,College Stats,3-Jun,215,4.58,36,,121,7.13,4.52,
Anthony McFarland,RB,Maryland,College Stats,8-May,208,4.44,29.5,,116,,,
Sean McKeon,TE,Michigan,College Stats,5-Jun,242,,,18,,,,
Xavier McKinney,S,Alabama,College Stats,Jun-00,201,4.63,36,19,122,,,
Colton McKivitz,OL,West Virginia,College Stats,6-Jun,306,5.35,26,20,106,7.87,5,
Josh Metellus,S,Michigan,College Stats,11-May,209,4.55,36.5,20,124,6.94,4.4,
Chris Miller,S,Baylor,College Stats,11-May,190,4.61,35.5,12,133,7.09,4.12,
Denzel Mims,WR,Baylor,College Stats,3-Jun,207,4.38,38.5,16,131,6.66,4.43,
John Molchon,OL,Boise St.,College Stats,5-Jun,309,5.13,34,26,109,7.85,4.73,
JJ Molson,K,UCLA,College Stats,11-May,182,,,,,,,
Steven Montez,QB,Colorado,College Stats,4-Jun,231,4.68,33,,117,7.25,4.43,
Darnell Mooney,WR,Tulane,College Stats,10-May,176,4.38,37,9,124,,,
James Morgan,QB,Florida International,College Stats,4-Jun,229,4.89,29,,112,7.51,4.64,
Thaddeus Moss,TE,LSU,College Stats,2-Jun,250,,,,,,,
Zack Moss,RB,Utah,College Stats,9-May,223,4.65,33,19,,,4.37,
Larrell Murchison,DL,North Carolina St.,College Stats,2-Jun,297,5.05,29,29,118,7.89,4.51,
Kyle Murphy,OL,Rhode Island,,3-Jun,316,5.3,28,19,104,7.81,4.68,
Kenneth Murray,LB,Oklahoma,College Stats,2-Jun,241,4.52,38,21,129,,,
Tanner Muse,S,Clemson,College Stats,2-Jun,227,4.41,34.5,20,124,,,
Netane Muti,OL,Fresno St.,College Stats,3-Jun,315,,,44,,,,
Lucas Niang,OL,TCU,College Stats,6-Jun,315,,,,,,,
C.J. O'Grady,TE,Arkansas,College Stats,4-Jun,253,4.81,34,16,119,7.3,4.34,
Michael Ojemudia,CB,Iowa,College Stats,1-Jun,200,4.45,36,,122,6.87,4.21,
Jeff Okudah,CB,Ohio St.,College Stats,1-Jun,205,4.48,41,11,135,,,
Julian Okwara,DL,Notre Dame,College Stats,4-Jun,252,,,27,,,,
Albert Okwuegbunam,TE,Missouri,College Stats,5-Jun,258,4.49,,,,,,
Sewo Olonilua,RB,TCU,College Stats,3-Jun,232,4.66,36,25,123,,4.28,
Dante Olson,LB,Montana,,2-Jun,237,4.88,42,15,124,7,4.32,
Mike Onwenu,OL,Michigan,,3-Jun,344,,,26,,,,
K.J. Osborn,WR,Miami,College Stats,11-May,203,4.48,37.5,18,123,7,4.35,
Aaron Parker,WR,Rhode Island,,2-Jun,209,4.57,26.5,12,112,6.94,4.23,
Colby Parkinson,TE,Stanford,College Stats,7-Jun,252,4.77,32.5,18,109,7.15,4.46,
Dezmon Patmon,WR,Washington St.,College Stats,4-Jun,225,4.48,36,15,132,7.28,4.38,
Shea Patterson,QB,Michigan,College Stats,1-Jun,212,4.71,31,,116,7.14,4.5,
Matt Peart,OL,Connecticut,College Stats,7-Jun,318,5.06,30,26,113,8.01,4.92,
Alex Pechin,P,Bucknell,,1-Jun,213,4.69,34,13,,,,
John Penisini,DL,Utah,College Stats,1-Jun,318,,25.5,23,,,4.93,
Donovan Peoples-Jones,WR,Michigan,College Stats,2-Jun,212,4.48,44.5,,139,,,
La'Mical Perine,RB,Florida,College Stats,11-May,216,4.62,35,22,118,7.13,4.31,
Malcolm Perry,WR,Navy,College Stats,9-May,186,4.63,36,10,122,7.12,4.31,
Jacob Phillips,LB,LSU,College Stats,3-Jun,229,4.66,39,,126,7.38,4.33,
Scottie Phillips,RB,Mississippi,College Stats,8-May,209,4.56,30,29,114,7.4,4.53,
Tyre Phillips,OL,Mississippi St.,College Stats,5-Jun,331,5.37,25,22,93,8.17,5.11,
James Pierre,CB,Florida Atlantic,College Stats,Jun-00,183,4.59,33.5,,123,7.02,,
Michael Pinckney,LB,Miami,College Stats,11-May,235,,,,,,,
Jared Pinkney,TE,Vanderbilt,College Stats,4-Jun,257,4.96,,23,,,,
Danny Pinter,OL,Ball St.,College Stats,4-Jun,306,4.91,29.5,24,110,7.76,4.62,
Michael Pittman,WR,USC,College Stats,4-Jun,223,4.52,36.5,13,121,6.96,4.14,
Troy Pride,CB,Notre Dame,College Stats,11-May,193,4.4,35.5,13,119,6.94,4.26,
