,returns,vol,NVDA,INCY,TSLA,XLNX,ALGN,CERN,LRCX,XEL,SWKS,MU
29,0.18829145728643215,0.1686171839696635,0.005479840708364661,0.044330601470269786,0.051594362228734085,0.11313497864907775,0.006959978022452718,0.14644164769062995,4.824699667560495e-18,0.6320585912304711,1.81603863891322e-18,4.004236435450526e-18
30,0.18930150753768843,0.1687671763469697,0.006342253048727631,0.04495374235427086,0.053331912555067286,0.11228453661967062,0.007563168418229231,0.1444547982887161,0.0,0.6310695887153184,0.0,0.0
31,0.19031155778894474,0.16892496022476972,0.007894798852046993,0.04575291674203912,0.05451285811386966,0.11078106199668461,0.008336576141343702,0.14262690428605346,0.0,0.6300948838679625,5.177065373618284e-18,0.0
32,0.191321608040201,0.16908998556243982,0.009442067729366137,0.0465516020256826,0.055695860022707336,0.10927645225003464,0.009113060763848048,0.1407976647603763,0.0,0.629123292447985,0.0,1.2630955309456127e-17
33,0.1923316582914573,0.16926223196707962,0.010987970520889342,0.0473503231838455,0.05687935784335334,0.10777138382742135,0.009890298767599271,0.1389682966257312,0.0,0.6281523692311599,1.7076184216646695e-18,1.3471211993132393e-17
34,0.19334170854271357,0.1694416775197387,0.012532664103132524,0.04814911871417985,0.05806319469255728,0.10626587156337268,0.010668360448613504,0.13713885269027576,0.0,0.6271819377878685,0.0,0.0
35,0.19435175879396985,0.1696282994701025,0.014076216084787386,0.04894803462078009,0.05924725622068086,0.10475991679780383,0.011447339262284676,0.13530938729375022,9.351243737687476e-18,0.6262118497199131,2.846030702774449e-18,0.0
36,0.19536180904522613,0.1698220743672963,0.015623233339973263,0.04974672871983787,0.0604309119439033,0.10325452332424176,0.012223037815451188,0.1334804358868714,0.0,0.6252411289697212,0.0,1.0408340855860843e-17
37,0.1963718592964824,0.1700229775838666,0.017174766400882165,0.0505452008984302,0.06161403640927607,0.10174984433343785,0.01299439844556822,0.13165200824385714,0.0,0.6242697452685484,0.0,7.535205098774256e-18
38,0.1973819095477387,0.17023098367352169,0.018724537458385124,0.05134401277250004,0.0627973813834409,0.10024434551773921,0.013767286552141966,0.12982345015721783,0.0,0.6232989861585748,4.2825985813177425e-18,1.7184604433895245e-17
39,0.198391959798995,0.17044606669773352,0.020272457162437734,0.052143200837876796,0.06398096272138015,0.09873789245661538,0.014541769844277973,0.12799477744626025,0.0,0.6223289395311516,4.885686039762804e-18,9.31058615621927e-18
40,0.19940201005025127,0.1706681999825739,0.02181845363755005,0.052942790944589264,0.06516480515071606,0.09723029125593685,0.015317902419055906,0.1261660813455289,3.3881317890172014e-18,0.6213596752466228,3.7269449679189215e-18,9.513874063560301e-18
41,0.20041206030150754,0.17089735613236348,0.02336247047068391,0.0537427960043539,0.06634895461003809,0.09572133833188115,0.016095692340897878,0.12433743157813185,4.756937031780151e-18,0.6203913166640133,6.505213034913027e-19,0.0
42,0.20142211055276382,0.17113350705010594,0.024904492174847,0.05454321385977077,0.06753346119308587,0.09421078280662784,0.01687511609438497,0.12250896221910301,0.0,0.6194239716521805,3.211948935988307e-18,3.5236570605778894e-18
43,0.2024321608040201,0.1713766239451325,0.026444567022433127,0.05534402078482741,0.06871838296465513,0.09269833725796817,0.01765608587178118,0.12068083226312036,0.0,0.6184577738352146,0.0,1.0706496453294356e-18
44,0.20344221105527638,0.1716266773548089,0.027982806085144012,0.05614517611173839,0.06990377515262525,0.0911836964468964,0.01843846492132822,0.11885324828569668,1.100465205072787e-17,0.6174928329965711,0.0,0.0
45,0.20445226130653266,0.1718836371475744,0.029519401006993812,0.05694660020931521,0.0710896842921312,0.08966655581635453,0.019222074269766878,0.11702646271568044,0.0,0.616529221689758,0.0,0.0
